threshold_missing_pct,n_rows_missing_gt_threshold,pct_rows_missing_gt_threshold,n_rows_missing_le_threshold,pct_rows_missing_le_threshold
0.0,1700,100.0,0,0.0
5.0,992,58.35294117647059,708,41.64705882352941
10.0,314,18.470588235294116,1386,81.52941176470588
15.0,168,9.88235294117647,1532,90.11764705882354
20.0,134,7.882352941176471,1566,92.11764705882354
25.0,93,5.470588235294118,1607,94.52941176470588
30.0,29,1.7058823529411766,1671,98.29411764705883
35.0,4,0.2352941176470588,1696,99.76470588235294
40.0,2,0.1176470588235294,1698,99.88235294117646
45.0,1,0.0588235294117647,1699,99.94117647058823
50.0,0,0.0,1700,100.0
55.0,0,0.0,1700,100.0
60.0,0,0.0,1700,100.0
65.0,0,0.0,1700,100.0
70.0,0,0.0,1700,100.0
75.0,0,0.0,1700,100.0
80.0,0,0.0,1700,100.0
85.0,0,0.0,1700,100.0
90.0,0,0.0,1700,100.0
95.0,0,0.0,1700,100.0
100.0,0,0.0,1700,100.0
