column,missing_count,missing_pct
KFK_BLOOD,1696,99.76470588235294
IBS_NASL,1628,95.76470588235294
S_AD_KBRIG,1076,63.294117647058826
D_AD_KBRIG,1076,63.294117647058826
NOT_NA_KB,686,40.35294117647059
LID_KB,677,39.82352941176471
NA_KB,657,38.64705882352941
GIPER_NA,375,22.058823529411764
NA_BLOOD,375,22.058823529411764
K_BLOOD,371,21.823529411764707
GIPO_K,369,21.705882352941178
AST_BLOOD,285,16.76470588235294
ALT_BLOOD,284,16.705882352941178
S_AD_ORIT,267,15.705882352941178
D_AD_ORIT,267,15.705882352941178
DLIT_AG,248,14.588235294117647
ROE,203,11.941176470588236
ritm_ecg_p_01,152,8.941176470588236
ritm_ecg_p_02,152,8.941176470588236
ritm_ecg_p_04,152,8.941176470588236
ritm_ecg_p_06,152,8.941176470588236
ritm_ecg_p_07,152,8.941176470588236
ritm_ecg_p_08,152,8.941176470588236
NA_R_3_n,131,7.705882352941177
NOT_NA_3_n,131,7.705882352941177
R_AB_3_n,128,7.529411764705881
TIME_B_S,126,7.411764705882352
L_BLOOD,125,7.352941176470589
n_r_ecg_p_01,115,6.764705882352941
n_r_ecg_p_02,115,6.764705882352941
n_r_ecg_p_03,115,6.764705882352941
n_r_ecg_p_04,115,6.764705882352941
n_r_ecg_p_05,115,6.764705882352941
n_r_ecg_p_06,115,6.764705882352941
n_r_ecg_p_08,115,6.764705882352941
n_r_ecg_p_09,115,6.764705882352941
n_r_ecg_p_10,115,6.764705882352941
n_p_ecg_p_01,115,6.764705882352941
n_p_ecg_p_03,115,6.764705882352941
n_p_ecg_p_04,115,6.764705882352941
n_p_ecg_p_05,115,6.764705882352941
n_p_ecg_p_06,115,6.764705882352941
n_p_ecg_p_07,115,6.764705882352941
n_p_ecg_p_08,115,6.764705882352941
n_p_ecg_p_09,115,6.764705882352941
n_p_ecg_p_10,115,6.764705882352941
n_p_ecg_p_11,115,6.764705882352941
n_p_ecg_p_12,115,6.764705882352941
NOT_NA_2_n,110,6.470588235294119
R_AB_2_n,108,6.352941176470588
NA_R_2_n,108,6.352941176470588
STENOK_AN,106,6.235294117647059
ant_im,83,4.88235294117647
lat_im,80,4.705882352941177
inf_im,80,4.705882352941177
FK_STENOK,73,4.294117647058823
post_im,72,4.235294117647059
ZSN_A,54,3.176470588235294
IBS_POST,51,3.0
nr_11,21,1.2352941176470587
nr_01,21,1.2352941176470587
nr_02,21,1.2352941176470587
nr_03,21,1.2352941176470587
nr_04,21,1.2352941176470587
nr_07,21,1.2352941176470587
nr_08,21,1.2352941176470587
np_01,18,1.0588235294117647
np_04,18,1.0588235294117647
np_05,18,1.0588235294117647
np_07,18,1.0588235294117647
np_08,18,1.0588235294117647
np_09,18,1.0588235294117647
np_10,18,1.0588235294117647
GEPAR_S_n,17,1.0
ASP_S_n,17,1.0
R_AB_1_n,16,0.9411764705882352
TIKL_S_n,16,0.9411764705882352
TRENT_S_n,16,0.9411764705882352
K_SH_POST,15,0.8823529411764706
MP_TP_POST,14,0.823529411764706
ANT_CA_S_n,13,0.7647058823529412
O_L_POST,12,0.7058823529411765
SVT_POST,12,0.7058823529411765
GT_POST,12,0.7058823529411765
FIB_G_POST,12,0.7058823529411765
endocr_01,11,0.6470588235294118
B_BLOK_S_n,11,0.6470588235294118
endocr_02,10,0.5882352941176471
endocr_03,10,0.5882352941176471
fibr_ter_01,10,0.5882352941176471
fibr_ter_02,10,0.5882352941176471
fibr_ter_03,10,0.5882352941176471
fibr_ter_05,10,0.5882352941176471
fibr_ter_06,10,0.5882352941176471
fibr_ter_07,10,0.5882352941176471
fibr_ter_08,10,0.5882352941176471
NOT_NA_1_n,10,0.5882352941176471
LID_S_n,10,0.5882352941176471
GB,9,0.5294117647058824
NITR_S,9,0.5294117647058824
AGE,8,0.4705882352941176
SIM_GIPERT,8,0.4705882352941176
zab_leg_01,7,0.411764705882353
zab_leg_02,7,0.411764705882353
zab_leg_03,7,0.411764705882353
zab_leg_04,7,0.411764705882353
zab_leg_06,7,0.411764705882353
NA_R_1_n,5,0.29411764705882354
INF_ANAM,4,0.2352941176470588
IM_PG_P,1,0.0588235294117647
SEX,0,0.0
FIBR_PREDS,0,0.0
PREDS_TAH,0,0.0
JELUD_TAH,0,0.0
FIBR_JELUD,0,0.0
A_V_BLOK,0,0.0
OTEK_LANC,0,0.0
RAZRIV,0,0.0
DRESSLER,0,0.0
ZSN,0,0.0
REC_IM,0,0.0
P_IM_STEN,0,0.0
LET_IS,0,0.0
