,mean,std,min,max
average_cost,0.01639907821160117,0.12122620600493575,-0.21246630687309787,0.346872617468198
accuracy,0.009479471246191997,0.014971301324724667,-0.022241966177803718,0.055636493909720586
precision,0.2754096807511457,0.27757523340207246,-0.6,1.0
recall,-0.019913609467455663,0.07800119113274263,-0.22840236686390541,0.125680473372781
f1,-0.0076380599341047,0.10493710159324515,-0.2363157894736842,0.2128353879622915
roc_auc,0.08363064417856281,0.05416760657705796,-0.022031192333020533,0.22729138976465613
