model,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max
DESKL,100.0,0.5462618022780679,0.08471192011027665,0.3449035220061505,0.48242566574154594,0.5443465442479263,0.5984338895707895,0.750264227509615
DecisionTreeClassifier,100.0,0.25270013909220773,0.06542705676260072,0.1592356687898089,0.2058622463108754,0.241700031527774,0.28856916225369694,0.4880796494986368
Exponential,100.0,0.5200995849662395,0.08690343487948475,0.2356990672120409,0.4589683558332362,0.5190768270309527,0.5930921119929989,0.6967641911525867
KNORAE,100.0,0.3782575516086908,0.08276506189832956,0.2392806819612088,0.3145916312069358,0.3696134250460872,0.4317379501205776,0.6467625318877124
LogisticRegression,100.0,0.5617021910151547,0.08293752404106676,0.3468771688287878,0.522655907510472,0.5638920232890949,0.6151673736272258,0.7514568573544053
METADES,100.0,0.5241661478853217,0.09172681250047703,0.2959623198413122,0.4572557109731915,0.5182568170605033,0.5770384040844343,0.761756880559538
MLA,100.0,0.31656498614532236,0.07883093970936747,0.1780510768130574,0.2615431013260276,0.30153400985596923,0.3509227206263353,0.573069848424568
RandomForestClassifier,100.0,0.5620050060081581,0.0825816971400545,0.3488292837446939,0.4998002217198554,0.5594281374025336,0.6198810222071184,0.7481787505619409
SGDClassifier,100.0,0.40698894326843005,0.1274131014685823,0.1983675395140363,0.3012487733620163,0.40540555108489074,0.5037633643703034,0.660610022080382
StackingClassifier,100.0,0.6116180201223741,0.08261608601210182,0.3790947571920484,0.5628901879452575,0.6098052039107328,0.6736199442261711,0.7744358247447193
VotingClassifier,100.0,0.6015465962557783,0.08086432212440897,0.3992952479431239,0.543399951481359,0.6044449320896115,0.6581533859146871,0.7867292524146787
XGBClassifier,100.0,0.6011001753835793,0.08373835181950211,0.4020156953428101,0.5413460117938209,0.5946211052640444,0.6672132434225769,0.7643168779554159
