model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max
DESKL,100.0,0.7075070547448196,0.05491985564618047,0.5796178343949044,0.6687898089171974,0.7101910828025477,0.7416854793195194,0.8535031847133758
DecisionTreeClassifier,100.0,0.5632471982584858,0.16268106601343424,0.1592356687898089,0.4697452229299363,0.6019108280254777,0.6767515923566878,0.8280254777070064
Exponential,100.0,0.720812706603241,0.049910207279599716,0.5859872611464968,0.6878980891719745,0.7206321051358542,0.7579617834394905,0.8280254777070064
KNORAE,100.0,0.7229714585181004,0.03514217927657769,0.6392405063291139,0.7006369426751592,0.7261146496815286,0.7452229299363057,0.810126582278481
LogisticRegression,100.0,0.6813129887930338,0.05005403750176466,0.535031847133758,0.6486535515601064,0.6815286624203821,0.7133757961783439,0.7898089171974523
METADES,100.0,0.7853785374506169,0.03832946247411788,0.689873417721519,0.7579617834394905,0.7866242038216561,0.8092195436587922,0.8789808917197452
MLA,100.0,0.6565504313472545,0.08750998552476143,0.3885350318471338,0.6050955414012739,0.6624203821656051,0.7197452229299363,0.810126582278481
RandomForestClassifier,100.0,0.630803031524631,0.0733549314981155,0.3439490445859872,0.5914194146577441,0.6401273885350318,0.6751592356687898,0.7770700636942676
SGDClassifier,100.0,0.6559832298637426,0.0874079590608125,0.4331210191082802,0.5977787632024509,0.6560509554140127,0.7197452229299363,0.821656050955414
StackingClassifier,100.0,0.7905301136821737,0.033917279091225286,0.7215189873417721,0.7691082802547771,0.7898089171974523,0.8155788922034992,0.8544303797468354
VotingClassifier,100.0,0.7176316213819236,0.059369059573094955,0.5477707006369427,0.6767012013222606,0.7197452229299363,0.7643312101910829,0.8227848101265823
XGBClassifier,100.0,0.8043239538821253,0.03465219356807681,0.7133757961783439,0.7834394904458599,0.8089171974522293,0.8280254777070064,0.8734177215189873
