model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
DESKL,100.0,0.7690307692307691,0.08881064319589632,0.52,0.72,0.7692307692307693,0.84,1.0
DecisionTreeClassifier,100.0,0.7181846153846155,0.16572152741528606,0.3846153846153846,0.6338461538461538,0.72,0.84,1.0
Exponential,100.0,0.736692307692308,0.09023372648833446,0.44,0.68,0.72,0.8,0.96
KNORAE,100.0,0.5800615384615384,0.10211859419273057,0.36,0.52,0.5684615384615385,0.64,0.92
LogisticRegression,100.0,0.8167692307692307,0.08380540486677662,0.6,0.7923076923076924,0.84,0.88,1.0
METADES,100.0,0.6159384615384615,0.10874334927798084,0.32,0.56,0.6076923076923078,0.68,0.84
MLA,100.0,0.6089384615384615,0.14756383544030957,0.24,0.52,0.62,0.72,0.92
RandomForestClassifier,100.0,0.856276923076923,0.07297799052993378,0.68,0.8,0.88,0.92,1.0
SGDClassifier,100.0,0.8115384615384614,0.11080710308278394,0.44,0.76,0.84,0.88,1.0
StackingClassifier,100.0,0.7473692307692307,0.08394188272164892,0.52,0.6892307692307692,0.76,0.8,0.92
VotingClassifier,100.0,0.8262923076923078,0.08613389018517424,0.5769230769230769,0.76,0.84,0.8846153846153846,1.0
XGBClassifier,100.0,0.7178923076923077,0.08520221878676235,0.52,0.68,0.72,0.8,0.92
