Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
specificity,DESKL,DecisionTreeClassifier,0.16210184552289808,2.054735383099249,0.04253874889949452,True,Better
specificity,DESKL,Exponential,-0.021973684210526256,-0.7025335664406553,0.48399509459540213,False,No Diff
specificity,DESKL,KNORAE,-0.054305650489861135,-2.0430228873588216,0.04370748359155371,True,Worse
specificity,DESKL,LogisticRegression,0.04022556390977439,1.3330872670728218,0.18556279276646345,False,No Diff
specificity,DESKL,METADES,-0.12175837320574179,-4.680251717611918,9.105683378334339e-06,True,Worse
specificity,DESKL,MLA,0.030285372522214415,0.6115502718845641,0.542237151617551,False,No Diff
specificity,DESKL,RandomForestClassifier,0.10781670084301664,2.6981120066147537,0.00819932218616707,True,Better
specificity,DESKL,SGDClassifier,0.06939792663476863,1.499050334686114,0.13704270018728335,False,No Diff
specificity,DESKL,StackingClassifier,-0.10290043290043294,-3.918096806392116,0.00016432539677611798,True,Worse
specificity,DESKL,VotingClassifier,-0.0011534518113464065,-0.03287353431986053,0.9738416244793148,False,No Diff
specificity,DESKL,XGBClassifier,-0.12492025518341321,-4.672201626741081,9.402861242975407e-06,True,Worse
specificity,DecisionTreeClassifier,DESKL,-0.16210184552289808,-2.054735383099249,0.04253874889949452,True,Worse
specificity,DecisionTreeClassifier,Exponential,-0.18407552973342434,-2.316292393923874,0.0226041527153079,True,Worse
specificity,DecisionTreeClassifier,KNORAE,-0.21640749601275922,-2.809283560593027,0.005983466981053783,True,Worse
specificity,DecisionTreeClassifier,LogisticRegression,-0.1218762816131237,-1.5144069432757843,0.13310888664245193,False,No Diff
specificity,DecisionTreeClassifier,METADES,-0.28386021872863987,-3.642627658432953,0.0004317055993913413,True,Worse
specificity,DecisionTreeClassifier,MLA,-0.13181647300068366,-1.5987091381870613,0.11307207401951173,False,No Diff
specificity,DecisionTreeClassifier,RandomForestClassifier,-0.054285144679881436,-0.6735829101361532,0.5021460833013476,False,No Diff
specificity,DecisionTreeClassifier,SGDClassifier,-0.09270391888812946,-1.0328307759620694,0.30419960321315836,False,No Diff
specificity,DecisionTreeClassifier,StackingClassifier,-0.265002278423331,-3.4652729067424133,0.0007846004081432179,True,Worse
specificity,DecisionTreeClassifier,VotingClassifier,-0.1632552973342445,-2.039699863711219,0.04404404487845603,True,Worse
specificity,DecisionTreeClassifier,XGBClassifier,-0.2870221007063113,-3.8335797728170213,0.00022206849436936203,True,Worse
specificity,Exponential,DESKL,0.021973684210526256,0.7025335664406553,0.48399509459540213,False,No Diff
specificity,Exponential,DecisionTreeClassifier,0.18407552973342434,2.316292393923874,0.0226041527153079,True,Better
specificity,Exponential,KNORAE,-0.03233196627933488,-1.279546187219361,0.20369541056285062,False,No Diff
specificity,Exponential,LogisticRegression,0.06219924812030064,2.4399914869143986,0.016465872458333954,True,Better
specificity,Exponential,METADES,-0.09978468899521553,-3.8533070248416124,0.0002070728566598506,True,Worse
specificity,Exponential,MLA,0.05225905673274067,1.0780263080965604,0.2836417284908695,False,No Diff
specificity,Exponential,RandomForestClassifier,0.1297903850535429,3.3901332826622483,0.0010045675171539922,True,Better
specificity,Exponential,SGDClassifier,0.09137161084529488,2.113441421166238,0.03707687393751361,True,Better
specificity,Exponential,StackingClassifier,-0.08092674868990668,-3.340089596146463,0.001181923653139402,True,Worse
specificity,Exponential,VotingClassifier,0.02082023239917985,0.6341903849897247,0.5274192867765163,False,No Diff
specificity,Exponential,XGBClassifier,-0.10294657097288695,-4.032119696025262,0.00010874937409365964,True,Worse
specificity,KNORAE,DESKL,0.054305650489861135,2.0430228873588216,0.04370748359155371,True,Better
specificity,KNORAE,DecisionTreeClassifier,0.21640749601275922,2.809283560593027,0.005983466981053783,True,Better
specificity,KNORAE,Exponential,0.03233196627933488,1.279546187219361,0.20369541056285062,False,No Diff
specificity,KNORAE,LogisticRegression,0.09453121439963552,4.018120338345387,0.00011444876465945256,True,Better
specificity,KNORAE,METADES,-0.06745272271588065,-3.4619692541778777,0.0007932322122678901,True,Worse
specificity,KNORAE,MLA,0.08459102301207555,1.8730424733469233,0.06401281824107231,False,No Diff
specificity,KNORAE,RandomForestClassifier,0.16212235133287778,4.819490729089201,5.199422975504566e-06,True,Better
specificity,KNORAE,SGDClassifier,0.12370357712462976,2.8311313856679043,0.0056184608288220896,True,Better
specificity,KNORAE,StackingClassifier,-0.0485947824105718,-2.4209776334875164,0.017300372985798153,True,Worse
specificity,KNORAE,VotingClassifier,0.05315219867851473,1.8680656730769996,0.06471037379943595,False,No Diff
specificity,KNORAE,XGBClassifier,-0.07061460469355207,-3.840454814577779,0.0002167286427093908,True,Worse
specificity,LogisticRegression,DESKL,-0.04022556390977439,-1.3330872670728218,0.18556279276646345,False,No Diff
specificity,LogisticRegression,DecisionTreeClassifier,0.1218762816131237,1.5144069432757843,0.13310888664245193,False,No Diff
specificity,LogisticRegression,Exponential,-0.06219924812030064,-2.4399914869143986,0.016465872458333954,True,Worse
specificity,LogisticRegression,KNORAE,-0.09453121439963552,-4.018120338345387,0.00011444876465945256,True,Worse
specificity,LogisticRegression,METADES,-0.16198393711551617,-6.6692928210845,1.482817409978415e-09,True,Worse
specificity,LogisticRegression,MLA,-0.009940191387559971,-0.20037557598071967,0.8415979107333049,False,No Diff
specificity,LogisticRegression,RandomForestClassifier,0.06759113693324226,1.8081993406428563,0.07361157225082518,False,No Diff
specificity,LogisticRegression,SGDClassifier,0.02917236272499424,0.6704646287554464,0.5041227165859989,False,No Diff
specificity,LogisticRegression,StackingClassifier,-0.14312599681020732,-6.237493702197003,1.1015265466048357e-08,True,Worse
specificity,LogisticRegression,VotingClassifier,-0.04137901572112079,-1.3626741236731619,0.17607700346231386,False,No Diff
specificity,LogisticRegression,XGBClassifier,-0.1651458190931876,-6.904352003326395,4.881918071060585e-10,True,Worse
specificity,METADES,DESKL,0.12175837320574179,4.680251717611918,9.105683378334339e-06,True,Better
specificity,METADES,DecisionTreeClassifier,0.28386021872863987,3.642627658432953,0.0004317055993913413,True,Better
specificity,METADES,Exponential,0.09978468899521553,3.8533070248416124,0.0002070728566598506,True,Better
specificity,METADES,KNORAE,0.06745272271588065,3.4619692541778777,0.0007932322122678901,True,Better
specificity,METADES,LogisticRegression,0.16198393711551617,6.6692928210845,1.482817409978415e-09,True,Better
specificity,METADES,MLA,0.1520437457279562,3.2674004028872963,0.001492430736990509,True,Better
specificity,METADES,RandomForestClassifier,0.22957507404875843,6.086923183748744,2.1898563213978124e-08,True,Better
specificity,METADES,SGDClassifier,0.1911562998405104,4.7579283475395675,6.668695146030251e-06,True,Better
specificity,METADES,StackingClassifier,0.01885794030530885,0.9605010452421989,0.3391431359701301,False,No Diff
specificity,METADES,VotingClassifier,0.12060492139439538,4.117477657355513,7.945647872804276e-05,True,Better
specificity,METADES,XGBClassifier,-0.0031618819776714213,-0.15890127916349622,0.8740703610918562,False,No Diff
specificity,MLA,DESKL,-0.030285372522214415,-0.6115502718845641,0.542237151617551,False,No Diff
specificity,MLA,DecisionTreeClassifier,0.13181647300068366,1.5987091381870613,0.11307207401951173,False,No Diff
specificity,MLA,Exponential,-0.05225905673274067,-1.0780263080965604,0.2836417284908695,False,No Diff
specificity,MLA,KNORAE,-0.08459102301207555,-1.8730424733469233,0.06401281824107231,False,No Diff
specificity,MLA,LogisticRegression,0.009940191387559971,0.20037557598071967,0.8415979107333049,False,No Diff
specificity,MLA,METADES,-0.1520437457279562,-3.2674004028872963,0.001492430736990509,True,Worse
specificity,MLA,RandomForestClassifier,0.07753132832080223,1.4430261855583961,0.15216977774961657,False,No Diff
specificity,MLA,SGDClassifier,0.03911255411255421,0.6678416898118004,0.5057885810093334,False,No Diff
specificity,MLA,StackingClassifier,-0.13318580542264735,-2.9037784145813066,0.004546515098665425,True,Worse
specificity,MLA,VotingClassifier,-0.03143882433356082,-0.6482177951523025,0.5183447338085718,False,No Diff
specificity,MLA,XGBClassifier,-0.15520562770562762,-3.552824428535155,0.0005856383579328236,True,Worse
specificity,RandomForestClassifier,DESKL,-0.10781670084301664,-2.6981120066147537,0.00819932218616707,True,Worse
specificity,RandomForestClassifier,DecisionTreeClassifier,0.054285144679881436,0.6735829101361532,0.5021460833013476,False,No Diff
specificity,RandomForestClassifier,Exponential,-0.1297903850535429,-3.3901332826622483,0.0010045675171539922,True,Worse
specificity,RandomForestClassifier,KNORAE,-0.16212235133287778,-4.819490729089201,5.199422975504566e-06,True,Worse
specificity,RandomForestClassifier,LogisticRegression,-0.06759113693324226,-1.8081993406428563,0.07361157225082518,False,No Diff
specificity,RandomForestClassifier,METADES,-0.22957507404875843,-6.086923183748744,2.1898563213978124e-08,True,Worse
specificity,RandomForestClassifier,MLA,-0.07753132832080223,-1.4430261855583961,0.15216977774961657,False,No Diff
specificity,RandomForestClassifier,SGDClassifier,-0.03841877420824802,-0.7575879361220557,0.4504971895059663,False,No Diff
specificity,RandomForestClassifier,StackingClassifier,-0.21071713374344958,-5.6073308309198096,1.8624985208506205e-07,True,Worse
specificity,RandomForestClassifier,VotingClassifier,-0.10897015265436305,-2.6424286826996664,0.009569128156376628,True,Worse
specificity,RandomForestClassifier,XGBClassifier,-0.23273695602642985,-6.3026347727994265,8.165888229326732e-09,True,Worse
specificity,SGDClassifier,DESKL,-0.06939792663476863,-1.499050334686114,0.13704270018728335,False,No Diff
specificity,SGDClassifier,DecisionTreeClassifier,0.09270391888812946,1.0328307759620694,0.30419960321315836,False,No Diff
specificity,SGDClassifier,Exponential,-0.09137161084529488,-2.113441421166238,0.03707687393751361,True,Worse
specificity,SGDClassifier,KNORAE,-0.12370357712462976,-2.8311313856679043,0.0056184608288220896,True,Worse
specificity,SGDClassifier,LogisticRegression,-0.02917236272499424,-0.6704646287554464,0.5041227165859989,False,No Diff
specificity,SGDClassifier,METADES,-0.1911562998405104,-4.7579283475395675,6.668695146030251e-06,True,Worse
specificity,SGDClassifier,MLA,-0.03911255411255421,-0.6678416898118004,0.5057885810093334,False,No Diff
specificity,SGDClassifier,RandomForestClassifier,0.03841877420824802,0.7575879361220557,0.4504971895059663,False,No Diff
specificity,SGDClassifier,StackingClassifier,-0.17229835953520156,-4.098062691971808,8.536615004232612e-05,True,Worse
specificity,SGDClassifier,VotingClassifier,-0.07055137844611503,-1.4846902717273862,0.1408030611040519,False,No Diff
specificity,SGDClassifier,XGBClassifier,-0.19431818181818183,-4.600280205609244,1.2510235163494962e-05,True,Worse
specificity,StackingClassifier,DESKL,0.10290043290043294,3.918096806392116,0.00016432539677611798,True,Better
specificity,StackingClassifier,DecisionTreeClassifier,0.265002278423331,3.4652729067424133,0.0007846004081432179,True,Better
specificity,StackingClassifier,Exponential,0.08092674868990668,3.340089596146463,0.001181923653139402,True,Better
specificity,StackingClassifier,KNORAE,0.0485947824105718,2.4209776334875164,0.017300372985798153,True,Better
specificity,StackingClassifier,LogisticRegression,0.14312599681020732,6.237493702197003,1.1015265466048357e-08,True,Better
specificity,StackingClassifier,METADES,-0.01885794030530885,-0.9605010452421989,0.3391431359701301,False,No Diff
specificity,StackingClassifier,MLA,0.13318580542264735,2.9037784145813066,0.004546515098665425,True,Better
specificity,StackingClassifier,RandomForestClassifier,0.21071713374344958,5.6073308309198096,1.8624985208506205e-07,True,Better
specificity,StackingClassifier,SGDClassifier,0.17229835953520156,4.098062691971808,8.536615004232612e-05,True,Better
specificity,StackingClassifier,VotingClassifier,0.10174698108908653,3.4426416003444564,0.000845551356569788,True,Better
specificity,StackingClassifier,XGBClassifier,-0.022019822282980273,-1.2417800110697115,0.21725163275723944,False,No Diff
specificity,VotingClassifier,DESKL,0.0011534518113464065,0.03287353431986053,0.9738416244793148,False,No Diff
specificity,VotingClassifier,DecisionTreeClassifier,0.1632552973342445,2.039699863711219,0.04404404487845603,True,Better
specificity,VotingClassifier,Exponential,-0.02082023239917985,-0.6341903849897247,0.5274192867765163,False,No Diff
specificity,VotingClassifier,KNORAE,-0.05315219867851473,-1.8680656730769996,0.06471037379943595,False,No Diff
specificity,VotingClassifier,LogisticRegression,0.04137901572112079,1.3626741236731619,0.17607700346231386,False,No Diff
specificity,VotingClassifier,METADES,-0.12060492139439538,-4.117477657355513,7.945647872804276e-05,True,Worse
specificity,VotingClassifier,MLA,0.03143882433356082,0.6482177951523025,0.5183447338085718,False,No Diff
specificity,VotingClassifier,RandomForestClassifier,0.10897015265436305,2.6424286826996664,0.009569128156376628,True,Better
specificity,VotingClassifier,SGDClassifier,0.07055137844611503,1.4846902717273862,0.1408030611040519,False,No Diff
specificity,VotingClassifier,StackingClassifier,-0.10174698108908653,-3.4426416003444564,0.000845551356569788,True,Worse
specificity,VotingClassifier,XGBClassifier,-0.1237668033720668,-4.095431663403756,8.619873194678166e-05,True,Worse
specificity,XGBClassifier,DESKL,0.12492025518341321,4.672201626741081,9.402861242975407e-06,True,Better
specificity,XGBClassifier,DecisionTreeClassifier,0.2870221007063113,3.8335797728170213,0.00022206849436936203,True,Better
specificity,XGBClassifier,Exponential,0.10294657097288695,4.032119696025262,0.00010874937409365964,True,Better
specificity,XGBClassifier,KNORAE,0.07061460469355207,3.840454814577779,0.0002167286427093908,True,Better
specificity,XGBClassifier,LogisticRegression,0.1651458190931876,6.904352003326395,4.881918071060585e-10,True,Better
specificity,XGBClassifier,METADES,0.0031618819776714213,0.15890127916349622,0.8740703610918562,False,No Diff
specificity,XGBClassifier,MLA,0.15520562770562762,3.552824428535155,0.0005856383579328236,True,Better
specificity,XGBClassifier,RandomForestClassifier,0.23273695602642985,6.3026347727994265,8.165888229326732e-09,True,Better
specificity,XGBClassifier,SGDClassifier,0.19431818181818183,4.600280205609244,1.2510235163494962e-05,True,Better
specificity,XGBClassifier,StackingClassifier,0.022019822282980273,1.2417800110697115,0.21725163275723944,False,No Diff
specificity,XGBClassifier,VotingClassifier,0.1237668033720668,4.095431663403756,8.619873194678166e-05,True,Better
