model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
DESKL (Baseline),100.0,0.1255076923076923,0.06960502483584029,0.0,0.08,0.12,0.16,0.32
DESKL (Cost-sensitive + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DESKL (Cost-sensitive + Standard Threshold),100.0,0.8331846153846153,0.08533976996300069,0.56,0.76,0.84,0.88,1.0
DESKL (SMOTE + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DESKL (SMOTE + Standard Threshold),100.0,0.5057538461538463,0.09621927719375034,0.28,0.44,0.5,0.56,0.76
KNORAE (Baseline),100.0,0.2677692307692308,0.09779161542696509,0.0,0.2,0.28,0.32,0.56
KNORAE (Cost-sensitive + Minimum Expected Cost),100.0,0.9796923076923076,0.028032103320443993,0.88,0.96,1.0,1.0,1.0
KNORAE (Cost-sensitive + Standard Threshold),100.0,0.5894307692307692,0.10832176018512502,0.24,0.515,0.6,0.6603846153846153,0.8461538461538461
KNORAE (SMOTE + Minimum Expected Cost),100.0,0.9939999999999999,0.017407765595569783,0.92,1.0,1.0,1.0,1.0
KNORAE (SMOTE + Standard Threshold),100.0,0.47326153846153846,0.10651544327901129,0.24,0.4,0.48,0.52,0.8
LogisticRegression (Baseline),100.0,0.3940461538461538,0.10062185584953216,0.12,0.32,0.4,0.44,0.64
LogisticRegression (Cost-sensitive + Minimum Expected Cost),100.0,0.9912307692307692,0.024467797648134264,0.88,1.0,1.0,1.0,1.0
LogisticRegression (Cost-sensitive + Standard Threshold),100.0,0.8346461538461538,0.08252412705525304,0.56,0.7923076923076924,0.84,0.8811538461538462,1.0
LogisticRegression (SMOTE + Minimum Expected Cost),100.0,0.985676923076923,0.026908260991616893,0.88,0.9615384615384616,1.0,1.0,1.0
LogisticRegression (SMOTE + Standard Threshold),100.0,0.7302153846153847,0.08343229411846936,0.56,0.68,0.72,0.8,0.92
METADES (Baseline),100.0,0.13659999999999997,0.0911088414533674,0.0,0.08,0.12,0.2,0.4
METADES (Cost-sensitive + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
METADES (Cost-sensitive + Standard Threshold),100.0,0.7445538461538461,0.10100775343635043,0.52,0.68,0.76,0.801923076923077,1.0
METADES (SMOTE + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
METADES (SMOTE + Standard Threshold),100.0,0.4315230769230769,0.09777868667428752,0.2,0.36,0.44,0.48,0.72
