model,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
DESKL (Balanced + MEC),100.0,0.8290393518761939,0.04342949540177458,0.696969696969697,0.8008333333333334,0.8327557530189109,0.8586363636363636,0.9290909090909092
DESKL (Balanced + STD),100.0,0.8308605263157895,0.04399938039979247,0.7266666666666667,0.8017278554778555,0.8333333333333333,0.8615909090909091,0.9251515151515152
DESKL (Baseline),100.0,0.7928032217782218,0.08400393407748341,0.5,0.760568181818182,0.8107517482517482,0.8441666666666666,0.9330303030303032
DESKL (Cost-sensitive + MEC),100.0,0.8269867974131132,0.04360714128477876,0.6915151515151515,0.8023484848484849,0.8242424242424242,0.8499043062200956,0.9321095571095572
DESKL (Cost-sensitive + STD),100.0,0.8267685428606483,0.047043452806403825,0.7003030303030303,0.7920658508158508,0.8298484848484848,0.8628787878787879,0.9193939393939394
DESKL (SMOTE + MEC),100.0,0.7887689880295143,0.04774308316561766,0.6640909090909091,0.7524242424242424,0.7948678514467988,0.8200757575757576,0.922121212121212
DESKL (SMOTE + STD),100.0,0.7907749745868168,0.04851344378125438,0.6443939393939393,0.7623484848484849,0.7928787878787878,0.818030303030303,0.9351515151515152
KNORAE (Balanced + MEC),100.0,0.7249589327339326,0.05313012259108121,0.5875757575757576,0.6925797448165869,0.7251165501165501,0.7534877622377623,0.8633333333333333
KNORAE (Balanced + STD),100.0,0.7336712033580455,0.0574708880682698,0.5800000000000001,0.7009469696969697,0.7341666666666666,0.769090909090909,0.8615151515151516
KNORAE (Baseline),100.0,0.7165541178120125,0.06543148662663986,0.5,0.6901376255323625,0.7253030303030303,0.7586742424242424,0.8339393939393941
KNORAE (Cost-sensitive + MEC),100.0,0.7404987494961177,0.05384847348644872,0.6077272727272728,0.7015151515151516,0.7401515151515151,0.7815470494417862,0.84
KNORAE (Cost-sensitive + STD),100.0,0.7395720936957779,0.058333534071521094,0.5422727272727274,0.7055365686944635,0.7386363636363636,0.7779166666666667,0.8524184149184149
KNORAE (SMOTE + MEC),100.0,0.7012832281753336,0.061555294763521715,0.4601515151515152,0.668245898838004,0.7046969696969697,0.7352651515151516,0.8583333333333334
KNORAE (SMOTE + STD),100.0,0.7036915777205252,0.0562329186977382,0.5730303030303032,0.6635606060606061,0.7021212121212121,0.7388704716336295,0.8487878787878788
LogisticRegression (Balanced + MEC),100.0,0.8367492822966507,0.04481594529602495,0.7194055944055944,0.8027272727272727,0.8366666666666667,0.8685514923672819,0.9381818181818182
LogisticRegression (Balanced + STD),100.0,0.836680675464886,0.04456775193402392,0.7234848484848485,0.8071969696969696,0.8390931875142401,0.865,0.926969696969697
LogisticRegression (Baseline),100.0,0.824091058941059,0.06389017017254053,0.4569924812030075,0.7998484848484848,0.8340734265734266,0.8669924812030075,0.9193939393939394
LogisticRegression (Cost-sensitive + MEC),100.0,0.8381807455702192,0.04627762556178634,0.7175757575757575,0.8143181818181818,0.845434039644566,0.8699096736596736,0.9227272727272728
LogisticRegression (Cost-sensitive + STD),100.0,0.8372360542965808,0.044871082209013376,0.7033799533799534,0.8104545454545454,0.8428787878787878,0.8640821678321678,0.9366666666666668
LogisticRegression (SMOTE + MEC),100.0,0.8321667096061831,0.0465778659848524,0.7209090909090909,0.7927272727272727,0.8333333333333334,0.868345864661654,0.9290909090909092
LogisticRegression (SMOTE + STD),100.0,0.833036200641464,0.04649943285942483,0.7025058275058276,0.8012121212121213,0.8322727272727273,0.8669172932330828,0.9354545454545456
METADES (Balanced + MEC),100.0,0.8185574557021924,0.0439886173832886,0.6990909090909091,0.781439393939394,0.8216200466200466,0.8508770396270396,0.9054545454545456
METADES (Balanced + STD),100.0,0.8198831019857338,0.04625452993662469,0.6657142857142857,0.7983333333333335,0.822946001367054,0.851152312599681,0.9268648018648018
METADES (Baseline),100.0,0.7625845036542407,0.07725094740845612,0.5,0.7279545454545455,0.7762121212121211,0.811060606060606,0.9092424242424242
METADES (Cost-sensitive + MEC),100.0,0.8280716577282368,0.04331364615321813,0.7026515151515152,0.7978030303030303,0.831097060833903,0.8568181818181818,0.9151515151515152
METADES (Cost-sensitive + STD),100.0,0.827270814273446,0.05063903022923799,0.6757575757575758,0.7986363636363636,0.8274242424242424,0.8621212121212121,0.9423076923076924
METADES (SMOTE + MEC),100.0,0.7398629651050704,0.06384142085137674,0.521203007518797,0.7077185314685315,0.7408316245158351,0.7834090909090909,0.8521212121212122
METADES (SMOTE + STD),100.0,0.7570126864363705,0.0651627318593796,0.5253030303030303,0.7151136363636363,0.7610606060606061,0.7973530416951471,0.9033333333333332
RandomForestClassifier (Balanced + MEC),100.0,0.8448003443924496,0.04019377402087559,0.738030303030303,0.8221969696969698,0.8487878787878788,0.8755827505827506,0.936969696969697
RandomForestClassifier (Balanced + STD),100.0,0.8417149508386352,0.04007329947578798,0.736013986013986,0.8168939393939394,0.842717019822283,0.8696969696969696,0.9345454545454543
RandomForestClassifier (Baseline),100.0,0.7890186559054979,0.08094135404832391,0.5,0.7481060606060607,0.8018181818181818,0.843409090909091,0.935897435897436
RandomForestClassifier (Cost-sensitive + MEC),100.0,0.8431302706065865,0.04226587124158029,0.6622556390977444,0.8187878787878788,0.8493939393939394,0.866993006993007,0.932983682983683
RandomForestClassifier (Cost-sensitive + STD),100.0,0.8424284811679549,0.0412878135174043,0.7217365967365968,0.8135606060606061,0.8483333333333334,0.8683566433566433,0.9254545454545456
RandomForestClassifier (SMOTE + MEC),100.0,0.7907843818462239,0.049162665892233705,0.6654545454545455,0.756284965034965,0.7953030303030303,0.8226076555023923,0.9084848484848485
RandomForestClassifier (SMOTE + STD),100.0,0.7908413582032001,0.054914117204374606,0.5,0.7584090909090909,0.7962121212121211,0.8240601503759398,0.9075757575757576
StackingClassifier (Balanced + MEC),100.0,0.8686460863697705,0.034020570842635614,0.7485431235431236,0.8465909090909092,0.8703522792996478,0.8906060606060606,0.936969696969697
StackingClassifier (Balanced + STD),100.0,0.8688667840930999,0.037517998087534206,0.7497086247086248,0.8446212121212121,0.8693939393939394,0.8941666666666666,0.9448484848484848
StackingClassifier (Baseline),100.0,0.8692765707976234,0.03469158759887507,0.7674825174825174,0.8498397435897436,0.8722989291410344,0.8898484848484849,0.9387878787878788
