model,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max
StackingClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
StackingClassifier (Cost-sensitive + Standard Threshold),100.0,0.35703459136672167,0.047728953104558686,0.2567567567567567,0.3181818181818182,0.35889929742388754,0.39019896831245393,0.4693877551020408
StackingClassifier (SMOTE + Minimum Expected Cost),100.0,0.2845288366637634,0.04442452836071344,0.2115384615384615,0.2528130671506352,0.2763157894736842,0.3053252032520325,0.5
StackingClassifier (SMOTE + Standard Threshold),100.0,0.5746042095871173,0.08375713082697776,0.3529411764705882,0.5185185185185185,0.5714285714285714,0.635,0.75
VotingClassifier (Baseline),100.0,0.701442977286395,0.15306311628010247,0.0,0.6143162393162394,0.6923076923076923,0.7797619047619048,1.0
VotingClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.15990004107514166,0.0021656110170826578,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1721854304635761
VotingClassifier (Cost-sensitive + Standard Threshold),100.0,0.2719784065390589,0.06896115645546436,0.1476510067114094,0.2173746813933729,0.28291753291753285,0.3172101449275362,0.4259259259259259
VotingClassifier (SMOTE + Minimum Expected Cost),100.0,0.16283975367111295,0.00831174866517396,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.16449450366422383,0.1984126984126984
VotingClassifier (SMOTE + Standard Threshold),100.0,0.40796564809351304,0.11088833092673948,0.1900826446280991,0.3223076923076923,0.40212765957446805,0.4666666666666667,0.7692307692307693
XGBClassifier (Baseline),100.0,0.6896005694530563,0.10381768723303836,0.4166666666666667,0.6143162393162394,0.6923076923076923,0.75,1.0
XGBClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.19474880157136545,0.028915480142610844,0.1582278481012658,0.1700680272108843,0.19125318066157754,0.221077935222672,0.2666666666666666
XGBClassifier (Cost-sensitive + Standard Threshold),100.0,0.3878206125208402,0.060645404813779086,0.273972602739726,0.33914170506912444,0.38686000716075897,0.4251329787234043,0.5555555555555556
XGBClassifier (SMOTE + Minimum Expected Cost),100.0,0.27680246055751445,0.08365847411270591,0.1582278481012658,0.2028422501966955,0.27664753955833765,0.34542624521072796,0.5116279069767442
XGBClassifier (SMOTE + Standard Threshold),100.0,0.5669165037044293,0.1458234461867757,0.25,0.4635989010989011,0.5669642857142857,0.6704545454545454,0.9090909090909092
