model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
DESKL,100.0,0.9940461538461538,0.02131267490880892,0.88,1.0,1.0,1.0,1.0
DecisionTreeClassifier,100.0,0.9194923076923075,0.15119503720162514,0.36,0.94,1.0,1.0,1.0
Exponential,100.0,0.9900461538461539,0.02149229706903031,0.88,1.0,1.0,1.0,1.0
KNORAE,100.0,0.9279846153846154,0.0655103941271052,0.76,0.88,0.94,1.0,1.0
LogisticRegression,100.0,0.819076923076923,0.07810161669665848,0.64,0.76,0.84,0.88,1.0
METADES,100.0,0.9626307692307692,0.05200253553539343,0.76,0.96,1.0,1.0,1.0
MLA,100.0,0.8307692307692307,0.14545327535157626,0.32,0.72,0.84,0.96,1.0
RandomForestClassifier,100.0,0.9948307692307692,0.020112076147358462,0.88,1.0,1.0,1.0,1.0
SGDClassifier,100.0,0.47272307692307697,0.16244292690242804,0.16,0.36,0.48,0.56,0.92
StackingClassifier,100.0,0.8318615384615384,0.0765964456110481,0.64,0.7923076923076924,0.84,0.8846153846153846,0.96
VotingClassifier,100.0,0.841876923076923,0.0751963397413033,0.64,0.8,0.84,0.88,1.0
XGBClassifier,100.0,0.7956307692307693,0.08001336329725368,0.6,0.76,0.8,0.84,0.96
