model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max
DESKL,100.0,0.7996238813190358,0.06922135375066021,0.569620253164557,0.7786624203821657,0.8407643312101911,0.8407643312101911,0.8607594936708861
DecisionTreeClassifier,100.0,0.8354369910505524,0.09710460044539625,0.4777070063694267,0.8407643312101911,0.8407643312101911,0.8407643312101911,1.3375796178343948
Exponential,100.0,0.7952330081431913,0.08063603443399593,0.5379746835443038,0.7643312101910829,0.8254051439167944,0.8407643312101911,0.961783439490446
KNORAE,100.0,0.832201080383778,0.10296503878330965,0.5477707006369427,0.7818471337579618,0.8407643312101911,0.8869426751592357,1.0764331210191085
LogisticRegression,100.0,0.5686475046359751,0.13048597531293862,0.3248407643312102,0.4865254373941788,0.5605095541401274,0.6815286624203821,0.8535031847133758
METADES,100.0,0.8044670644198986,0.09010389248058234,0.5222929936305732,0.7770700636942676,0.8248407643312102,0.841016286382327,1.0127388535031847
MLA,100.0,0.9239740385390631,0.1280806763747694,0.5126582278481012,0.8407643312101911,0.9047609449326777,0.987281302910586,1.3885350318471337
RandomForestClassifier,100.0,0.7989643634604532,0.06552684817812685,0.5796178343949044,0.7694811739095381,0.8407643312101911,0.8407643312101911,0.8417721518987342
SGDClassifier,100.0,0.9434011932596951,0.20717357168621223,0.4267515923566879,0.8105095541401275,0.9235668789808917,1.0966802386519392,1.3503184713375795
StackingClassifier,100.0,0.5118793840199951,0.12027368845426234,0.3121019108280254,0.4442675159235669,0.49363057324840764,0.5923566878980892,0.8227848101265823
VotingClassifier,100.0,0.5088643876481496,0.10853543056881551,0.2356687898089172,0.4324357010400709,0.514290897363541,0.589544868177054,0.7784810126582279
XGBClassifier,100.0,0.52909658953479,0.11790702041825978,0.2484076433121019,0.445859872611465,0.5063694267515924,0.6003184713375795,0.8291139240506329
