model,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
DESKL,100.0,0.791674163117584,0.07841069180464197,0.5,0.7639146160856687,0.8049242424242424,0.8455303030303031,0.9103030303030304
DecisionTreeClassifier,100.0,0.6026578154301838,0.07997842064832285,0.4772727272727273,0.5514772727272728,0.5897435897435896,0.6367045454545455,0.8325757575757575
Exponential,100.0,0.7756940747848643,0.08277125190278933,0.5,0.739280303030303,0.7957575757575758,0.8259347231715654,0.9193939393939392
KNORAE,100.0,0.7159056868570025,0.074124283187695,0.5,0.6768939393939395,0.7232575757575759,0.7631681476418318,0.8671212121212122
LogisticRegression,100.0,0.8254860893492474,0.057142042904726846,0.4915151515151515,0.8020454545454545,0.8257575757575757,0.8566346153846154,0.9206060606060606
METADES,100.0,0.7623444248733722,0.07130219924419064,0.5,0.7290909090909091,0.7736363636363637,0.8008333333333333,0.8836363636363636
MLA,100.0,0.6277258167271325,0.07693225875563109,0.4267669172932331,0.5797348484848486,0.6370454545454547,0.6868793706293707,0.8536363636363636
RandomForestClassifier,100.0,0.7825269353453566,0.09272592889613696,0.5,0.7388636363636363,0.8025757575757575,0.8532575757575758,0.9557575757575758
SGDClassifier,100.0,0.6808272275969646,0.05756766362136776,0.5721804511278195,0.6328933566433568,0.683030303030303,0.7213578088578089,0.8230303030303029
StackingClassifier,100.0,0.8686447920500554,0.03713133611571357,0.7422556390977445,0.8484848484848485,0.87,0.8957954545454545,0.9379370629370628
VotingClassifier,100.0,0.8554007378586325,0.03883689202027345,0.7240675990675991,0.831590909090909,0.8543939393939395,0.8818181818181818,0.9478787878787878
XGBClassifier,100.0,0.8688676113360324,0.034905511017432035,0.7721445221445221,0.8476515151515152,0.874090909090909,0.8972727272727272,0.9348484848484848
