model,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max
DESKL,100.0,0.5087920743547029,0.10654159355831659,0.1582278481012658,0.4566510618688029,0.5264407723270935,0.5683797400552647,0.7974693402425557
DecisionTreeClassifier,100.0,0.27370134182850697,0.08970847687415537,0.1582278481012658,0.20263942820942968,0.2601273885350318,0.3326082974098249,0.5501926315187605
Exponential,100.0,0.47794910682416314,0.1150725209179155,0.1582278481012658,0.4263682186666184,0.48163997951456916,0.5497117287545543,0.7138953297718651
KNORAE,100.0,0.41149008272330867,0.09159921837715303,0.1582278481012658,0.3619681401752859,0.41899082418894107,0.46769399885008467,0.6424412478954039
LogisticRegression,100.0,0.5661165525403637,0.08742721281099591,0.216510404913362,0.5164014093502032,0.5684060018253964,0.622090134718738,0.738629394440815
METADES,100.0,0.4498210792154962,0.09839950859390241,0.1582278481012658,0.3919049340209844,0.45784482071989496,0.5136462283576431,0.677868305796984
MLA,100.0,0.32526157757725527,0.08343143630261952,0.1582278481012658,0.2666001187897685,0.3360589875769803,0.3772956162238018,0.5927155525329323
RandomForestClassifier,100.0,0.5096399804418863,0.12178840443873903,0.1582278481012658,0.4413808774598481,0.5213080531915943,0.5923928045007615,0.7854825050308023
SGDClassifier,100.0,0.3191756504737321,0.07206465713487585,0.1998670728330102,0.26380704910383435,0.30935427190863163,0.35866157112526537,0.5558808217630367
StackingClassifier,100.0,0.6449570133919416,0.07668974848144335,0.4393822090760539,0.5909653344838122,0.6620045349303563,0.6919663512735602,0.8387931571208255
VotingClassifier,100.0,0.6092352752139325,0.08108108317299514,0.4398825936970124,0.5511636577334051,0.6091949680644586,0.6628871561809202,0.8044817209642252
XGBClassifier,100.0,0.6459264598175624,0.07208043589105378,0.4801767261834713,0.5979901494322932,0.6542931203362571,0.7001602342959534,0.8173041021605258
