model,specificity_count,specificity_mean,specificity_std,specificity_min,specificity_25%,specificity_50%,specificity_75%,specificity_max
DESKL,100.0,0.05976532239690133,0.09737644906241785,0.0,0.0,0.0,0.1022727272727272,0.3560606060606061
DecisionTreeClassifier,100.0,0.15873604465709729,0.2694181340249124,0.0,0.0,0.0,0.44074675324675316,0.8106060606060606
Exponential,100.0,0.07255468215994529,0.0971116142729779,0.0,0.0,0.0227272727272727,0.106060606060606,0.3609022556390977
KNORAE,100.0,0.1466672362724994,0.1442700521874445,0.0,0.0151515151515151,0.0871212121212121,0.2670454545454545,0.4848484848484848
LogisticRegression,100.0,0.6669919115971745,0.08382721878770309,0.0,0.6439393939393939,0.6742424242424242,0.7121212121212122,0.7878787878787878
METADES,100.0,0.11379300524037364,0.13163299673400145,0.0,0.0132575757575757,0.053030303030303,0.19507575757575757,0.5303030303030303
MLA,100.0,0.2221018455228981,0.19888825432946441,0.0,0.0606060606060606,0.17803030303030298,0.3181818181818182,0.7878787878787878
RandomForestClassifier,100.0,0.05906242879927087,0.09314908577649725,0.0,0.0,0.0,0.106060606060606,0.3560606060606061
SGDClassifier,100.0,0.8795164046479836,0.095847815713132,0.4772727272727273,0.8484848484848485,0.8977272727272727,0.946969696969697,0.9924812030075189
StackingClassifier,100.0,0.710311004784689,0.06299374149203171,0.5151515151515151,0.6742424242424242,0.7132034632034632,0.7575757575757576,0.8333333333333334
VotingClassifier,100.0,0.6949236728184096,0.07249244039849,0.4696969696969697,0.6553030303030303,0.7045454545454546,0.7443181818181819,0.8409090909090909
XGBClassifier,100.0,0.758645477329688,0.05276899053658025,0.6287878787878788,0.7272727272727273,0.7622750056960583,0.7897727272727273,0.8787878787878788
