,mean,std,min,max
average_cost,-0.08193066130719678,0.16851474382056184,-0.4794400306092592,0.32936013143976056
accuracy,0.01761334970028102,0.03992276321151987,-0.08228939254124368,0.11464518016700054
precision,0.020113806452175816,0.04772897494908669,-0.19341563786008237,0.1982683982683982
recall,0.044834566220406914,0.10197694071114224,-0.19415929203539828,0.3077876106194691
f1,0.027735115865440987,0.05614416918504397,-0.09695705652708703,0.18444400238710973
roc_auc,0.035636961411880524,0.06017217680042915,-0.14415211644418158,0.1745720086310082
