model,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max
DESKL,100.0,0.47358305582650956,0.08276869861722462,0.2857142857142857,0.4117647058823529,0.4642857142857143,0.5030487804878049,0.7916666666666666
DecisionTreeClassifier,100.0,0.2575295460675085,0.06908895929226623,0.0,0.21160130718954245,0.24852941176470583,0.29678362573099415,0.5555555555555556
Exponential,100.0,0.4243754837258865,0.07380748916293402,0.2777777777777778,0.37117503059975515,0.418979744936234,0.4628205128205128,0.6333333333333333
KNORAE,100.0,0.3475587061266773,0.059528890154480055,0.2,0.30598072562358275,0.3473824312333629,0.39050901378579006,0.4857142857142857
LogisticRegression,100.0,0.3850663205801002,0.04983069701077616,0.2244897959183673,0.3518518518518518,0.38879280525769633,0.42243589743589743,0.4888888888888889
METADES,100.0,0.4854316031744488,0.08571358740174909,0.3076923076923077,0.44,0.4833147942157954,0.5280701754385965,0.7272727272727273
MLA,100.0,0.32340158452872486,0.10431732619945099,0.1111111111111111,0.2586206896551724,0.30500894454382826,0.4,0.6470588235294118
RandomForestClassifier,100.0,0.42868670767681105,0.06451083431361848,0.3043478260869565,0.3879210220673635,0.4210526315789473,0.4752631578947368,0.6333333333333333
SGDClassifier,100.0,0.34491813000187227,0.0858631537911687,0.1789473684210526,0.2857142857142857,0.3357843137254902,0.3960526315789473,0.6071428571428571
StackingClassifier,100.0,0.4285234386153219,0.05508898504277644,0.3076923076923077,0.3931025369978858,0.425531914893617,0.4658584858980702,0.5609756097560976
VotingClassifier,100.0,0.412099619626005,0.09482153814923037,0.22,0.33736559139784944,0.40826330532212884,0.4676470588235294,0.7272727272727273
XGBClassifier,100.0,0.48330640002048114,0.05600414138592777,0.3695652173913043,0.4473684210526316,0.48106591865357645,0.521578947368421,0.6153846153846154
