model,specificity_count,specificity_mean,specificity_std,specificity_min,specificity_25%,specificity_50%,specificity_75%,specificity_max
DESKL,100.0,0.8744862155388472,0.03741241066617511,0.7348484848484849,0.849624060150376,0.875,0.9015151515151516,0.9621212121212122
DecisionTreeClassifier,100.0,0.6077375256322624,0.15786127907734984,0.2878787878787879,0.4981060606060606,0.6037821827295511,0.7140151515151516,1.0
Exponential,100.0,0.8469947596263385,0.03881301043017261,0.75,0.8181818181818182,0.8484848484848485,0.8787878787878788,0.9242424242424242
KNORAE,100.0,0.8099208247892459,0.033817362421966216,0.7196969696969697,0.7878787878787878,0.8106060606060606,0.836167122351333,0.8787878787878788
LogisticRegression,100.0,0.7762320574162679,0.03874639249500745,0.6818181818181818,0.7424242424242424,0.7878787878787878,0.803030303030303,0.8560606060606061
METADES,100.0,0.9002380952380952,0.025716561276876725,0.8333333333333334,0.8863636363636364,0.9015151515151516,0.9166666666666666,0.9696969696969696
MLA,100.0,0.8103656869446343,0.09084950458552572,0.5454545454545454,0.75,0.8181818181818182,0.875,0.9696969696969696
RandomForestClassifier,100.0,0.8335953520164046,0.03655622890647469,0.7272727272727273,0.8087121212121211,0.8333333333333334,0.8587662337662337,0.9172932330827068
SGDClassifier,100.0,0.7009364319890633,0.1555908529360987,0.2196969696969697,0.6200444292549556,0.7272727272727273,0.8200757575757576,0.9318181818181818
StackingClassifier,100.0,0.8045454545454543,0.03968043942740571,0.7121212121212122,0.7788362952836637,0.803030303030303,0.8333333333333334,0.8939393939393939
VotingClassifier,100.0,0.784621212121212,0.1098777183229995,0.3712121212121212,0.7424242424242424,0.8106060606060606,0.8512331966279335,0.9772727272727272
XGBClassifier,100.0,0.8552546138072455,0.0306006982882241,0.7803030303030303,0.8342731829573935,0.8560606060606061,0.8787878787878788,0.9242424242424242
