model,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max
DESKL,100.0,0.5702582210404503,0.08283716123327806,0.3952651214024709,0.5139386790321336,0.5692480335149326,0.6214376143422321,0.8266221883379781
DecisionTreeClassifier,100.0,0.27340323716631365,0.07247220444793503,0.1582278481012658,0.213158355835598,0.26455928983573285,0.3221545555593978,0.4433290731117676
Exponential,100.0,0.5247471617794351,0.09663855587521751,0.2871365609046972,0.45558448375326976,0.5287262106036211,0.5843938560885076,0.7597934795270289
KNORAE,100.0,0.4163758019072171,0.0820972743089112,0.2206059186431549,0.3607841017458231,0.408085448504393,0.4656740830631648,0.6534265544595439
LogisticRegression,100.0,0.5758121454022909,0.08365864467773684,0.3857931218716156,0.5186032264805877,0.5701800235012043,0.6320132600029977,0.7687698693553383
METADES,100.0,0.5391869370650622,0.08876198780898563,0.3078351600843834,0.4872079406469201,0.5375477766188723,0.5980151573972897,0.7336615150050253
MLA,100.0,0.32251605820470663,0.07963681772782284,0.1598696655139703,0.2730135029572436,0.3217209086434289,0.3831626826679344,0.5350999478542591
RandomForestClassifier,100.0,0.5890208574952189,0.08517412762374746,0.4171616549696397,0.5317293143979678,0.5859704061553339,0.6570578895297636,0.7860263479979039
SGDClassifier,100.0,0.3750459938119286,0.14501918945248835,0.1645986386577219,0.2744304770402942,0.32638041361145553,0.4880673202505549,0.7281665887466426
StackingClassifier,100.0,0.6478231120541167,0.07520216934277098,0.4925047860810775,0.5875639027131702,0.64810006053743,0.7024509898913851,0.8063640576368801
VotingClassifier,100.0,0.619395019988438,0.07358633894146019,0.4380962505188491,0.5656388642116572,0.6207348030821989,0.6779606009420125,0.7988012238269158
XGBClassifier,100.0,0.6427717852787445,0.07510797394440409,0.4706656053247959,0.5949908504591701,0.6398476321120476,0.7063163005703581,0.8158851680926485
