model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
KNORAE (Baseline),100.0,0.2677692307692308,0.09779161542696507,0.0,0.2,0.28,0.32,0.56
KNORAE (Cost-sensitive + Minimum Expected Cost),100.0,0.9796923076923076,0.028032103320443997,0.88,0.96,1.0,1.0,1.0
KNORAE (Cost-sensitive + Standard Threshold),100.0,0.5894307692307692,0.10832176018512499,0.24,0.515,0.6,0.6603846153846153,0.8461538461538461
KNORAE (SMOTE + Minimum Expected Cost),100.0,0.9939999999999999,0.017407765595569783,0.92,1.0,1.0,1.0,1.0
KNORAE (SMOTE + Standard Threshold),100.0,0.4732615384615385,0.10651544327901129,0.24,0.4,0.48,0.52,0.8
