,mean,std,min,max
average_cost,-0.23576244925645326,0.1401441048466918,-0.5346296307413388,0.1542154287079054
accuracy,0.007275889085600537,0.03220646064935769,-0.06544064962980656,0.10394592290652371
precision,0.013858710995188652,0.07768856488965269,-0.23363095238095233,0.2192865105908584
recall,0.1584532544378698,0.08578941579458642,-0.07668639053254434,0.35739644970414197
f1,0.06962185377458063,0.07089042971979803,-0.14160401002506262,0.22916666666666663
roc_auc,0.056864145799620826,0.04131082348872131,-0.038043437532916724,0.17276948646386403
