model,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
DESKL,100.0,0.7887689880295145,0.04774308316561766,0.6640909090909091,0.7524242424242424,0.7948678514467988,0.8200757575757576,0.922121212121212
DecisionTreeClassifier,100.0,0.655179855670645,0.07089986618218858,0.4865967365967366,0.6043181818181818,0.6594702665755298,0.7082954545454545,0.8057575757575757
Exponential,100.0,0.7443207722102457,0.06744943210884294,0.4968181818181818,0.7048581681476419,0.7478787878787879,0.7949242424242425,0.8633333333333333
KNORAE,100.0,0.7012832281753334,0.06155529476352172,0.4601515151515152,0.668245898838004,0.7046969696969697,0.7352651515151516,0.8583333333333334
LogisticRegression,100.0,0.8321667096061834,0.0465778659848524,0.7209090909090909,0.7927272727272727,0.8333333333333334,0.868345864661654,0.9290909090909092
METADES,100.0,0.7398629651050702,0.06384142085137674,0.521203007518797,0.7077185314685315,0.7408316245158351,0.7834090909090909,0.8521212121212122
MLA,100.0,0.6407718715495031,0.07128609681973129,0.4618181818181818,0.594280303030303,0.648289627039627,0.6937922494172495,0.8009090909090908
RandomForestClassifier,100.0,0.790784381846224,0.049162665892233705,0.6654545454545455,0.756284965034965,0.7953030303030303,0.8226076555023923,0.9084848484848485
SGDClassifier,100.0,0.8005509253903992,0.0620508028877832,0.575,0.7679126794258373,0.806188767372978,0.8447348484848485,0.9048484848484848
StackingClassifier,100.0,0.8615010743642324,0.04120097594167499,0.7424242424242425,0.8387878787878789,0.865,0.8881818181818181,0.937878787878788
VotingClassifier,100.0,0.8443375738296791,0.04102369036930875,0.7236363636363636,0.8155332167832168,0.8498251748251748,0.8731249671381249,0.94
XGBClassifier,100.0,0.8333937575582314,0.058076208045217605,0.6357894736842105,0.8046853146853147,0.8409090909090909,0.876439393939394,0.9454545454545454
