model,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max
DESKL,100.0,0.5651953518269971,0.08363592739421853,0.369363469893159,0.5071907146490396,0.568562046395303,0.6231985138882359,0.7586527778693908
DecisionTreeClassifier,100.0,0.2670844392309707,0.08131185812140851,0.1592356687898089,0.20160063826989622,0.2463286543246064,0.3133650079082091,0.4937805542016462
Exponential,100.0,0.5256940359172225,0.08646655420947925,0.3289126304230131,0.47066098137828394,0.5247391820701861,0.5877670135068304,0.7609858130532656
KNORAE,100.0,0.4017076791091454,0.08393887895114209,0.241755220166844,0.3425176226521345,0.3929959250429491,0.4432690973915703,0.6119045506176997
LogisticRegression,100.0,0.5731382528331166,0.08622607448293294,0.3758447964459959,0.5189584001025509,0.5671547630735174,0.6320841556120962,0.7475739152504253
METADES,100.0,0.5463227172909694,0.08805570809190644,0.3450571049122954,0.4871226079210532,0.5364486893053417,0.6061578273752825,0.7351021291748098
MLA,100.0,0.3214168325259781,0.07431865352075039,0.1548639464327544,0.269533455516171,0.3117617098458985,0.3633481529793705,0.5456512718677187
RandomForestClassifier,100.0,0.5938915975547238,0.08446402702228491,0.3654131918272435,0.5435943052865871,0.5921839472544678,0.6495749094523035,0.782757178925409
SGDClassifier,100.0,0.38311827034425283,0.1350110878005971,0.1892265696087351,0.27314334203011825,0.3409829602501737,0.47509399927256396,0.6906732585540767
StackingClassifier,100.0,0.6459866550923234,0.07551234427798284,0.4645551918257407,0.5922609093852083,0.6530459734425758,0.688661620801171,0.8203076163942139
VotingClassifier,100.0,0.6202878605879978,0.08448021123238345,0.4293789501227709,0.5572554658647277,0.6285958727682694,0.6817884818075284,0.804117387181999
XGBClassifier,100.0,0.6436859132491196,0.07507611811332192,0.4865899167523155,0.5892641306673311,0.6467020674677553,0.7022605852583965,0.8058003293771709
