model,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
DESKL,100.0,0.8290393518761943,0.04342949540177458,0.696969696969697,0.8008333333333334,0.8327557530189109,0.8586363636363636,0.9290909090909092
DecisionTreeClassifier,100.0,0.6579909047093259,0.07586275391040397,0.5,0.6078044981334455,0.6553987240829346,0.7140530303030304,0.8283333333333334
Exponential,100.0,0.8086060658639606,0.04760298873511883,0.6793939393939394,0.775733082706767,0.8102620186830714,0.8387878787878787,0.9155011655011654
KNORAE,100.0,0.7249589327339327,0.0531301225910812,0.5875757575757576,0.6925797448165869,0.7251165501165501,0.7534877622377623,0.8633333333333333
LogisticRegression,100.0,0.8367492822966507,0.04481594529602495,0.7194055944055944,0.8027272727272727,0.8366666666666667,0.8685514923672819,0.9381818181818182
METADES,100.0,0.8185574557021924,0.0439886173832886,0.6990909090909091,0.781439393939394,0.8216200466200466,0.8508770396270396,0.9054545454545456
MLA,100.0,0.6610417744536166,0.06841794195885906,0.4551515151515152,0.6191296422875371,0.6603787878787879,0.707310606060606,0.8237878787878788
RandomForestClassifier,100.0,0.8448003443924496,0.04019377402087559,0.738030303030303,0.8221969696969698,0.8487878787878788,0.8755827505827506,0.936969696969697
SGDClassifier,100.0,0.7546247024904921,0.07534370766603904,0.579090909090909,0.7003409090909092,0.7584227614490773,0.8126515151515152,0.932121212121212
StackingClassifier,100.0,0.8686460863697707,0.034020570842635614,0.7485431235431236,0.8465909090909092,0.8703522792996478,0.8906060606060606,0.936969696969697
VotingClassifier,100.0,0.8566606376080058,0.043953795158299676,0.7524242424242424,0.8216672143645829,0.8608350421508315,0.8890151515151514,0.9312121212121212
XGBClassifier,100.0,0.8681690449900978,0.03545673148744908,0.7467948717948718,0.8467657342657342,0.8715151515151515,0.8922043745727956,0.9372727272727271
