,mean,std,min,max
average_cost,-0.42801798347974546,0.189565706696107,-0.8442642141472113,0.12372056166217427
accuracy,0.04104194294529022,0.05522022871264494,-0.05474345197716379,0.2410675901600191
precision,0.11566836611632629,0.13349838991938115,-0.30069930069930073,0.4464285714285714
recall,0.2682260355029586,0.1403874851894192,-0.15053254437869823,0.591715976331361
f1,0.20578003474142673,0.10316601656048323,-0.02577319587628868,0.5089058524173028
roc_auc,0.1871754181127221,0.07185977809536687,0.001901073515423346,0.37620775108529525
