model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max
StackingClassifier (Balanced + MEC),100.0,0.16507780375715547,0.025095068297752876,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.3630573248407643
StackingClassifier (Balanced + STD),100.0,0.7970813512859791,0.034765575603804645,0.7088607594936709,0.7770700636942676,0.7961783439490446,0.821656050955414,0.8726114649681529
StackingClassifier (Baseline),100.0,0.8808578569700879,0.018020278291442343,0.821656050955414,0.8726114649681529,0.8789808917197452,0.89171974522293,0.9235668789808916
StackingClassifier (Cost-sensitive + MEC),100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
StackingClassifier (Cost-sensitive + STD),100.0,0.7271111827783601,0.05061489511220961,0.5987261146496815,0.6878980891719745,0.732484076433121,0.7643312101910829,0.8164556962025317
StackingClassifier (SMOTE + MEC),100.0,0.6103886156575021,0.07675958764462276,0.4203821656050955,0.552547770700637,0.6114649681528662,0.6592759816173506,0.8407643312101911
StackingClassifier (SMOTE + STD),100.0,0.8614556962025317,0.025898759115097345,0.7452229299363057,0.8471337579617835,0.8662420382165605,0.8805732484076434,0.9044585987261148
