model,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max
DESKL,100.0,0.5145891506822838,0.08210915059167892,0.3320530221461719,0.4613812219462497,0.5047589847165103,0.5675193117949886,0.7773326621624272
DecisionTreeClassifier,100.0,0.26606943211813866,0.06182004861823061,0.1592356687898089,0.21975009004673948,0.25422794598510956,0.30404504544182376,0.4613550220480157
Exponential,100.0,0.43089308870615717,0.10238746385224957,0.2000163508355779,0.350082783086868,0.4321591962285941,0.5055764213067645,0.6599066188198988
KNORAE,100.0,0.3708852988595141,0.07852834901021682,0.2292808634433712,0.3236226395297722,0.3689783698408355,0.42358214446766596,0.5627372713738095
LogisticRegression,100.0,0.5684993852978744,0.08690613017579132,0.3284100853623995,0.5070043126490531,0.5715254903755289,0.6245035678053943,0.7777023875213117
METADES,100.0,0.4457300073839507,0.09660447173402192,0.2578197087612518,0.39061605396453153,0.43384654554035307,0.5032486417282324,0.7319150153072934
MLA,100.0,0.3075756904513616,0.07597779688141815,0.1706443810930699,0.25236582680581293,0.29810394091545767,0.35471068440523035,0.5465917528000697
RandomForestClassifier,100.0,0.5063560716357132,0.09875289794855885,0.1592356687898089,0.4453235319400127,0.5170638755273873,0.5926470738171516,0.6733827775788715
SGDClassifier,100.0,0.4756931683671804,0.1420035282281726,0.1958130547656056,0.3767177800316203,0.49971995216484216,0.5782770374787103,0.7632371776505334
StackingClassifier,100.0,0.6375468907108848,0.07416823320639526,0.478470207576597,0.5785381492002742,0.6464886079230276,0.6934054837863534,0.786845267476692
VotingClassifier,100.0,0.6039444644367691,0.08261004694021425,0.4205653810987347,0.5479749525813518,0.6140537540523527,0.6568558508900718,0.8230937655827593
XGBClassifier,100.0,0.5814131668221209,0.1071748325603346,0.3281764502368439,0.5145386016350206,0.5897287737214706,0.6774054774642482,0.7747267136442272
