model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
DESKL,100.0,0.5057538461538462,0.09621927719375034,0.28,0.44,0.5,0.56,0.76
DecisionTreeClassifier,100.0,0.5604769230769231,0.17123007670037438,0.0,0.4,0.56,0.68,0.96
Exponential,100.0,0.5270769230769231,0.08804940989846448,0.32,0.47538461538461535,0.52,0.5769230769230769,0.76
KNORAE,100.0,0.47326153846153857,0.10651544327901129,0.24,0.4,0.48,0.52,0.8
LogisticRegression,100.0,0.7302153846153846,0.08343229411846938,0.56,0.68,0.72,0.8,0.92
METADES,100.0,0.4315230769230769,0.09777868667428752,0.2,0.36,0.44,0.48,0.72
MLA,100.0,0.3272769230769231,0.14016509728758836,0.0,0.24,0.32,0.4,0.76
RandomForestClassifier,100.0,0.5519538461538462,0.12195797789110326,0.0,0.48,0.56,0.64,0.88
SGDClassifier,100.0,0.7183999999999999,0.11181965893598139,0.4,0.64,0.72,0.8,0.9615384615384616
StackingClassifier,100.0,0.5665384615384615,0.10982185192774324,0.32,0.48,0.56,0.64,0.8
VotingClassifier,100.0,0.6442769230769231,0.17332058545417847,0.2,0.52,0.66,0.8,1.0
XGBClassifier,100.0,0.4679846153846154,0.09973216058583731,0.2,0.4,0.48,0.5438461538461539,0.68
