model,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
DESKL,100.0,0.7907749745868167,0.04851344378125438,0.6443939393939393,0.7623484848484849,0.7928787878787878,0.818030303030303,0.9351515151515152
DecisionTreeClassifier,100.0,0.6575267167043484,0.05905514204163131,0.5,0.6206439393939395,0.6599999999999999,0.7070454545454545,0.7701515151515151
Exponential,100.0,0.7450235553919765,0.06614613394026116,0.5566666666666666,0.7087878787878787,0.7433333333333334,0.79296999053578,0.8836363636363637
KNORAE,100.0,0.7036915777205252,0.0562329186977382,0.5730303030303032,0.6635606060606061,0.7021212121212121,0.7388704716336295,0.8487878787878788
LogisticRegression,100.0,0.8330362006414639,0.04649943285942483,0.7025058275058276,0.8012121212121213,0.8322727272727273,0.8669172932330828,0.9354545454545456
METADES,100.0,0.7570126864363707,0.0651627318593796,0.5253030303030303,0.7151136363636363,0.7610606060606061,0.7973530416951471,0.9033333333333332
MLA,100.0,0.6431761365827156,0.0696492296867485,0.4534848484848484,0.5957575757575759,0.6490909090909092,0.6854545454545454,0.8142424242424242
RandomForestClassifier,100.0,0.7908413582032003,0.054914117204374606,0.5,0.7584090909090909,0.7962121212121211,0.8240601503759398,0.9075757575757576
SGDClassifier,100.0,0.7925288351998878,0.07139019735168665,0.5945512820512819,0.7500903263403264,0.8052882205513785,0.8465020505809979,0.9077272727272728
StackingClassifier,100.0,0.8639147168620853,0.03831972028640017,0.7424242424242424,0.8392628205128205,0.8660606060606061,0.8891287878787879,0.942121212121212
VotingClassifier,100.0,0.8420245692903587,0.041371710354379435,0.7121212121212122,0.8149096736596737,0.8437529137529138,0.8762183868762816,0.9287878787878788
XGBClassifier,100.0,0.8321682567432568,0.05654726001449041,0.6263636363636363,0.7957575757575758,0.8418181818181818,0.8721037296037296,0.93
