model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
DESKL (Balanced + MEC),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DESKL (Balanced + STD),100.0,0.5736769230769231,0.08741060684624935,0.4,0.52,0.56,0.64,0.84
DESKL (Baseline),100.0,0.1255076923076923,0.06960502483584029,0.0,0.08,0.12,0.16,0.32
DESKL (Cost-sensitive + MEC),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DESKL (Cost-sensitive + STD),100.0,0.8331846153846153,0.08533976996300069,0.56,0.76,0.84,0.88,1.0
DESKL (SMOTE + MEC),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DESKL (SMOTE + STD),100.0,0.5057538461538462,0.09621927719375034,0.28,0.44,0.5,0.56,0.76
