model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
DESKL (Balanced + MEC),100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
DESKL (Balanced + STD),100.0,0.5149924957891553,0.07230339887087389,0.3728813559322034,0.4677304964539007,0.5042372881355932,0.5581761006289309,0.7755102040816326
DESKL (Baseline),100.0,0.21210374637001445,0.10687391811262399,0.0,0.1481481481481481,0.2142857142857142,0.2758620689655172,0.4571428571428571
DESKL (Cost-sensitive + MEC),100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
DESKL (Cost-sensitive + STD),100.0,0.4386716438427928,0.054055113190205145,0.32,0.39679260133805583,0.43577050012693574,0.47268258426966286,0.5753424657534246
DESKL (SMOTE + MEC),100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
DESKL (SMOTE + STD),100.0,0.46919362500510714,0.07701215129936329,0.2950819672131147,0.4115646258503401,0.46265328874024525,0.5255180946489328,0.7037037037037037
