,mean,std,min,max
average_cost,-0.3083116950555287,0.12604598166128525,-0.6735269367804774,-0.04022416781076277
accuracy,0.07927816953395345,0.04399570365700678,-0.01710067295356843,0.20324998311989384
precision,0.10323093641898536,0.057179482002157174,-0.008710333448447904,0.32073796369376484
recall,0.15946120565766583,0.0710168248729212,0.038461538461538436,0.36
specificity,0.06405360871829821,0.04853301290715457,-0.041854627010219914,0.18107271198103825
f1,0.12890987159241324,0.06156493784187201,0.0005177591384488145,0.34895439657344424
roc_auc,0.12277786612439424,0.03903572287514511,0.054330671722396806,0.2516078982227008
average_precision,0.311668119879184,0.08864824976313901,0.14107011301180505,0.48620959909000716
