,mean,std,min,max
average_cost,-0.011813912083889133,0.0416654041596374,-0.2409481729161691,0.10760789304645901
accuracy,0.006623204179955815,0.021153139333137918,-0.06519507495032328,0.08363099347448921
precision,0.0018277682274329993,0.006801958949923,-0.017643777217129203,0.03646017699115048
recall,0.003586982248520714,0.018575207605275236,-0.041420118343195145,0.10946745562130178
specificity,0.007616555676307076,0.023457424362099764,-0.0719866829732301,0.08540562576437011
f1,0.0027000700318617,0.010179831859826434,-0.02649350649350657,0.05331799002685078
roc_auc,0.05657921881321526,0.04071378051712445,-0.042688472272811584,0.163352639082201
average_precision,0.09706510563575992,0.09546997551740848,-0.2459921492672527,0.35823676721288006
