model,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max
DESKL,100.0,0.5156276327299159,0.12107039243788638,0.1582278481012658,0.4487077913187618,0.5226874657046211,0.5955030727354145,0.8143659400214204
DecisionTreeClassifier,100.0,0.28312617503591664,0.08491412885750652,0.1582278481012658,0.2301273885350318,0.2670314054257091,0.3292497149232696,0.5736827686546497
Exponential,100.0,0.47281336426258913,0.10817120910525925,0.1582278481012658,0.3958053596856744,0.4861039163925527,0.5440684917844056,0.7778046300663912
KNORAE,100.0,0.41300302073056694,0.08677085413298943,0.1582278481012658,0.35477543317345434,0.41693548457609786,0.46746343614982533,0.6441806988850031
LogisticRegression,100.0,0.5570991620269973,0.09721908072170123,0.1843160682700592,0.5036813611902279,0.5652365944781866,0.6166554918482203,0.759035100137396
METADES,100.0,0.45084095232547156,0.09789697880606793,0.1582278481012658,0.3921020620306391,0.4573147024782917,0.5123515659921254,0.6695558070218147
MLA,100.0,0.3250397605165665,0.08310865937455528,0.1582278481012658,0.26811995214682044,0.3177038059478504,0.38317716832704096,0.5843956239376994
RandomForestClassifier,100.0,0.5146135907636388,0.11578506497577902,0.1592356687898089,0.4549796298038973,0.5186269767258291,0.5963772847034153,0.7659912990150607
SGDClassifier,100.0,0.3405851928197539,0.11592950148123056,0.1701273885350318,0.2546496815286624,0.31197041038458434,0.4005276275153443,0.6788436413382741
StackingClassifier,100.0,0.6494679747033907,0.07136866902344188,0.4870512576337438,0.592218098911738,0.6445539305821817,0.6930124733440497,0.8109935961269322
VotingClassifier,100.0,0.6052529884626014,0.084228238651208,0.3923095233585889,0.5459260499029275,0.5982003467686497,0.6621690809641332,0.7989098543993598
XGBClassifier,100.0,0.6365225171909985,0.07480442544985702,0.443969903850334,0.5892695169661196,0.6431182478824107,0.688784587450312,0.7822367501779268
