model,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max
DESKL,100.0,0.8044830447330448,0.2819597109882363,0.0,0.75,0.9444444444444444,1.0,1.0
DecisionTreeClassifier,100.0,0.6448340548340549,0.2942465414838335,0.0,0.5,0.6666666666666666,0.8571428571428571,1.0
Exponential,100.0,0.5954429535634644,0.21417806500587638,0.0,0.4705882352941176,0.5714285714285714,0.7175324675324676,1.0
KNORAE,100.0,0.47662048387068573,0.1648649738976416,0.0,0.3846153846153846,0.4615384615384615,0.5384615384615384,1.0
LogisticRegression,100.0,0.6125935718573344,0.13101204749307707,0.1052631578947368,0.5323529411764706,0.6190476190476191,0.6923076923076923,0.9090909090909092
METADES,100.0,0.6062142995892996,0.28666746923136904,0.0,0.4285714285714285,0.625,0.8,1.0
MLA,100.0,0.542529082029082,0.4167031513684113,0.0,0.0,0.5,1.0,1.0
RandomForestClassifier,100.0,0.7944285714285715,0.328005804495966,0.0,0.6666666666666666,1.0,1.0,1.0
SGDClassifier,100.0,0.49628075208055633,0.17365037726726168,0.2352941176470588,0.3627272727272727,0.4752415458937198,0.5911764705882353,1.0
StackingClassifier,100.0,0.744202772373825,0.11092315039240302,0.4117647058823529,0.6666666666666666,0.7416666666666667,0.8045454545454546,1.0
VotingClassifier,100.0,0.701442977286395,0.15306311628010247,0.0,0.6143162393162394,0.6923076923076923,0.7797619047619048,1.0
XGBClassifier,100.0,0.6896005694530563,0.10381768723303834,0.4166666666666667,0.6143162393162394,0.6923076923076923,0.75,1.0
