model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
DESKL,100.0,0.1255076923076923,0.06960502483584029,0.0,0.08,0.12,0.16,0.32
DecisionTreeClassifier,100.0,0.14613846153846155,0.0847424334033793,0.0,0.08,0.16,0.2,0.36
Exponential,100.0,0.21152307692307687,0.09033941272425529,0.0,0.16,0.2,0.28,0.44
KNORAE,100.0,0.2677692307692307,0.09779161542696509,0.0,0.2,0.28,0.32,0.56
LogisticRegression,100.0,0.3940461538461538,0.10062185584953216,0.12,0.32,0.4,0.44,0.64
METADES,100.0,0.13659999999999997,0.09110884145336738,0.0,0.08,0.12,0.2,0.4
MLA,100.0,0.06529230769230769,0.06937800797914383,0.0,0.0,0.04,0.08,0.36
RandomForestClassifier,100.0,0.11376923076923073,0.07092222744208587,0.0,0.07923076923076923,0.12,0.16,0.28
SGDClassifier,100.0,0.40487692307692313,0.19041650412224606,0.12,0.2619230769230769,0.36,0.5246153846153846,0.88
StackingClassifier,100.0,0.39876923076923076,0.0863838643267258,0.2,0.32,0.4,0.44,0.6
VotingClassifier,100.0,0.33144615384615383,0.1432997938333376,0.0,0.24,0.32,0.40576923076923077,0.72
XGBClassifier,100.0,0.4258615384615384,0.08600739439433484,0.2,0.36,0.42000000000000004,0.48,0.64
