model,specificity_count,specificity_mean,specificity_std,specificity_min,specificity_25%,specificity_50%,specificity_75%,specificity_max
DESKL,100.0,0.9959125085440875,0.005317160160209677,0.9772727272727272,0.9924242424242424,1.0,1.0,1.0
DecisionTreeClassifier,100.0,0.9866017316017316,0.013986042909525435,0.9393939393939394,0.9774008885850991,0.9924242424242424,1.0,1.0
Exponential,100.0,0.9680536568694464,0.024485367049945646,0.8939393939393939,0.9545454545454546,0.9734848484848484,0.984876965140123,1.0
KNORAE,100.0,0.9429180906812487,0.02785245934969445,0.8484848484848485,0.9242424242424242,0.9434096605149237,0.9566957165641377,1.0
LogisticRegression,100.0,0.9476247436773754,0.04402404290075356,0.6136363636363636,0.9393939393939394,0.9545454545454546,0.9696969696969696,0.9924242424242424
METADES,100.0,0.9838773069036227,0.015128349770276883,0.946969696969697,0.9772727272727272,0.9848484848484848,1.0,1.0
MLA,100.0,0.9909888357256779,0.018135693646361802,0.9015151515151516,0.9924242424242424,1.0,1.0,1.0
RandomForestClassifier,100.0,0.996894508999772,0.005500034771732725,0.9696969696969696,0.9924242424242424,1.0,1.0,1.0
SGDClassifier,100.0,0.8973462064251538,0.0900191306653255,0.4848484848484848,0.8541666666666667,0.9242424242424242,0.9621212121212122,1.0
StackingClassifier,100.0,0.9724464570517202,0.01575975986684554,0.9242424242424242,0.9621212121212122,0.9772727272727272,0.9848484848484848,1.0
VotingClassifier,100.0,0.9701731601731602,0.020840379490509826,0.9015151515151516,0.9621212121212122,0.9696969696969696,0.9848484848484848,1.0
XGBClassifier,100.0,0.9622288676236045,0.016455201509053198,0.9172932330827068,0.9545454545454546,0.9621212121212122,0.969753930280246,1.0
