,mean,std,min,max
average_cost,-0.0001517489951762796,0.0029916282520514245,-0.02233575656636133,0.006621503004658913
accuracy,0.00015174899517625602,0.0029916282520514115,-0.006621503004658913,0.022335756566361276
precision,2.7217103227236418e-05,0.001899362725939065,-0.005433906862657295,0.004361898122790503
recall,0.0,0.0,0.0,0.0
f1,4.412923717058259e-05,0.0028112955368643686,-0.00805103854418121,0.006397522785697496
roc_auc,0.11933591428963125,0.046867149755250186,0.01265170968074436,0.242874505980336
