model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
VotingClassifier (Baseline),100.0,1.092469563815206,0.218419292800403,0.5095541401273885,0.960191082802548,1.105095541401274,1.2531847133757963,1.5987261146496816,100.0,0.8681968072240587,0.018703579712129412,0.821656050955414,0.858512053535435,0.8662420382165605,0.8789808917197452,0.9235668789808916,100.0,0.7014429772863948,0.15306311628010247,0.0,0.6143162393162394,0.6923076923076923,0.7797619047619048,1.0,100.0,0.33144615384615383,0.1432997938333376,0.0,0.24,0.32,0.40576923076923077,0.72,100.0,0.428305296611777,0.13697213713391088,0.0,0.33108108108108103,0.4324324324324324,0.5405405405405406,0.7391304347826086,100.0,0.8556649753755018,0.03936721593566953,0.7581954887218045,0.8298484848484848,0.8627067669172932,0.8784951013898382,0.948181818181818
VotingClassifier (Cost-sensitive + Minimum Expected Cost),100.0,0.8389345319680725,0.007241949751649821,0.7911392405063291,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.1610654680319277,0.007241949751649812,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.2088607594936709,100.0,0.15990004107514164,0.0021656110170826578,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1721854304635761,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.2757075664370592,0.003201818840063911,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2937853107344633,100.0,0.8421257514415409,0.0460924910739542,0.6854545454545455,0.8090151515151516,0.845,0.8765151515151515,0.923030303030303
VotingClassifier (Cost-sensitive + Standard Threshold),100.0,0.6285821978553575,0.15494824908414284,0.3248407643312102,0.5143312101910829,0.6126945093928888,0.7472083366927356,1.1210191082802548,100.0,0.5637390147544948,0.1763109517303356,0.1592356687898089,0.4745222929936305,0.6337579617834395,0.6947512698540675,0.7898089171974523,100.0,0.2719784065390589,0.06896115645546436,0.1476510067114094,0.2173746813933729,0.28291753291753285,0.3172101449275362,0.4259259259259259,100.0,0.8662153846153845,0.09048522595535417,0.6,0.8319230769230769,0.88,0.92,1.0,100.0,0.40677930667010814,0.07845728556717617,0.2463768115942029,0.3518270944741533,0.419047619047619,0.4631578947368421,0.5822784810126582,100.0,0.8385815798236851,0.047223242797792775,0.6854545454545455,0.8140151515151516,0.8448484848484847,0.8711363636363637,0.9136363636363636
VotingClassifier (SMOTE + Minimum Expected Cost),100.0,0.8243211319841975,0.04187588515021937,0.6392405063291139,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8535031847133758,100.0,0.17796823349189708,0.0447285819304804,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1645569620253164,0.360759493670886,100.0,0.162839753671113,0.00831174866517396,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.16449450366422383,0.1984126984126984,100.0,0.9984153846153846,0.007803255827293258,0.96,1.0,1.0,1.0,1.0,100.0,0.27991499084686294,0.011941714227465944,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2823861748089066,0.3311258278145695,100.0,0.8443375738296791,0.04102369036930875,0.7236363636363636,0.8155332167832168,0.8498251748251748,0.8731249671381249,0.94
VotingClassifier (SMOTE + Standard Threshold),100.0,0.7462424413448361,0.20471053802667666,0.375796178343949,0.6098726114649682,0.7420382165605095,0.8728130291058616,1.2929936305732483,100.0,0.7649173587035394,0.09217650097351564,0.3630573248407643,0.7245222929936306,0.7898089171974523,0.8291139240506329,0.8987341772151899,100.0,0.40796564809351304,0.11088833092673947,0.1900826446280991,0.3223076923076923,0.40212765957446805,0.4666666666666667,0.7692307692307693,100.0,0.6442769230769231,0.17332058545417847,0.2,0.52,0.66,0.8,1.0,100.0,0.4729213416550134,0.07579207735544126,0.303030303030303,0.4225708502024291,0.4724075197089145,0.5244360902255639,0.6551724137931034,100.0,0.8420245692903588,0.04137171035437944,0.7121212121212122,0.8149096736596737,0.8437529137529138,0.8762183868762816,0.9287878787878788
