Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
average_cost,METADES (Balanced + STD),METADES (SMOTE + MEC),0.05752640490203986,0.9780203849056406,0.3304481415139373,False,No Diff,accuracy,METADES (Balanced + STD),METADES (SMOTE + MEC),0.6747512698540676,73.21252758823623,5.052103927983503e-88,True,Better,precision,METADES (Balanced + STD),METADES (SMOTE + MEC),0.32570293701287634,10.895356306491081,1.2310846469244134e-18,True,Better,recall,METADES (Balanced + STD),METADES (SMOTE + MEC),-0.5098307692307692,-13.697330209429605,1.3813594629791616e-24,True,Worse,f1,METADES (Balanced + STD),METADES (SMOTE + MEC),0.2084687108420249,6.812071470171836,7.562387100471915e-10,True,Better,roc_auc,METADES (Balanced + STD),METADES (SMOTE + MEC),0.08002013688066312,3.044133357000282,0.002989195177953067,True,Better
average_cost,METADES (Balanced + STD),METADES (SMOTE + STD),-0.10375876803999007,-1.2266720214799651,0.22285529781447905,False,No Diff,accuracy,METADES (Balanced + STD),METADES (SMOTE + STD),0.019074014351366686,1.34992723245417,0.18011777800050777,False,No Diff,precision,METADES (Balanced + STD),METADES (SMOTE + STD),0.0544903140484162,1.2917910142885318,0.19943713726407575,False,No Diff,recall,METADES (Balanced + STD),METADES (SMOTE + STD),0.05864615384615385,1.0996747609161404,0.2741407676571241,False,No Diff,f1,METADES (Balanced + STD),METADES (SMOTE + STD),0.057419746042719155,1.3474326197161284,0.18091669289048906,False,No Diff,roc_auc,METADES (Balanced + STD),METADES (SMOTE + STD),0.06287041554936279,2.233106791229515,0.0277935739205729,True,Better
average_cost,METADES (Baseline),METADES (Balanced + MEC),0.5516947512698538,11.292153518357782,1.7036288338148079e-19,True,Better,accuracy,METADES (Baseline),METADES (Balanced + MEC),0.6889417882770299,135.51936227620854,3.194524077733867e-114,True,Better,precision,METADES (Baseline),METADES (Balanced + MEC),0.44654728354479434,4.476730533841598,2.030963297049421e-05,True,Better,recall,METADES (Baseline),METADES (Balanced + MEC),-0.8634000000000001,-27.23074516593065,8.884778713080427e-48,True,Worse,f1,METADES (Baseline),METADES (Balanced + MEC),-0.06363891436586158,-1.4713208235436064,0.1443759609914288,False,No Diff,roc_auc,METADES (Baseline),METADES (Balanced + MEC),-0.05597295204795216,-1.8953441924772314,0.060963931048054275,False,No Diff
average_cost,METADES (Baseline),METADES (Balanced + STD),0.49455010884463424,6.889666815781898,5.234695293474177e-10,True,Better,accuracy,METADES (Baseline),METADES (Balanced + STD),0.01380875594614206,1.3686421482192554,0.17420888306090518,False,No Diff,precision,METADES (Baseline),METADES (Balanced + STD),0.12078269641485073,1.2138351377210566,0.22769851504748945,False,No Diff,recall,METADES (Baseline),METADES (Balanced + STD),-0.35356923076923086,-7.788728030026144,6.785170037403262e-12,True,Worse,f1,METADES (Baseline),METADES (Balanced + STD),-0.27219912791245593,-5.597710784208404,1.9426459285200297e-07,True,Worse,roc_auc,METADES (Baseline),METADES (Balanced + STD),-0.05729859833149309,-2.006893507636438,0.04748759319425895,True,Worse
average_cost,METADES (Baseline),METADES (Cost-sensitive + MEC),0.5516947512698539,11.301743061119518,1.6243000175532793e-19,True,Better,accuracy,METADES (Baseline),METADES (Cost-sensitive + MEC),0.6889417882770299,134.30232824389233,7.765895626848132e-114,True,Better,precision,METADES (Baseline),METADES (Cost-sensitive + MEC),0.44654728354479434,4.472170940333432,2.0673051960912847e-05,True,Better,recall,METADES (Baseline),METADES (Cost-sensitive + MEC),-0.8634000000000001,-27.23074516593065,8.884778713080427e-48,True,Worse,f1,METADES (Baseline),METADES (Cost-sensitive + MEC),-0.06363891436586158,-1.4736824696829915,0.1437397461670836,False,No Diff,roc_auc,METADES (Baseline),METADES (Cost-sensitive + MEC),-0.0654871540739963,-2.1170023083850666,0.03676601320600955,True,Worse
average_cost,METADES (Baseline),METADES (Cost-sensitive + STD),0.7568052084173185,11.29348702446828,1.6923691927384423e-19,True,Better,accuracy,METADES (Baseline),METADES (Cost-sensitive + STD),0.11686164637587693,5.318155682668082,6.5094689933831e-07,True,Better,precision,METADES (Baseline),METADES (Cost-sensitive + STD),0.25362349745898544,2.458227659111049,0.015699421024105677,True,Better,recall,METADES (Baseline),METADES (Cost-sensitive + STD),-0.6079538461538462,-13.01229255064623,3.682600183134392e-23,True,Worse,f1,METADES (Baseline),METADES (Cost-sensitive + STD),-0.26228460984219715,-5.604239895167873,1.8878896679157237e-07,True,Worse,roc_auc,METADES (Baseline),METADES (Cost-sensitive + STD),-0.06468631061920549,-2.0952259759639595,0.03870283390921347,True,Worse
average_cost,METADES (Baseline),METADES (SMOTE + MEC),0.5520765137466741,11.281862907622667,1.793083159504378e-19,True,Better,accuracy,METADES (Baseline),METADES (SMOTE + MEC),0.6885600258002097,130.29956226940752,1.527082642323691e-112,True,Better,precision,METADES (Baseline),METADES (SMOTE + MEC),0.44648563342772707,4.471770532415672,2.0705264680103192e-05,True,Better,recall,METADES (Baseline),METADES (SMOTE + MEC),-0.8634000000000001,-27.23074516593065,8.884778713080427e-48,True,Worse,f1,METADES (Baseline),METADES (SMOTE + MEC),-0.063730417070431,-1.4730761950309101,0.1439028646988297,False,No Diff,roc_auc,METADES (Baseline),METADES (SMOTE + MEC),0.02272153854917003,0.628867359069252,0.5308842453049272,False,No Diff
average_cost,METADES (Baseline),METADES (SMOTE + STD),0.39079134080464417,5.282574814764626,7.576009716151409e-07,True,Better,accuracy,METADES (Baseline),METADES (SMOTE + STD),0.032882770297508745,2.957246822091135,0.003881439077294956,True,Better,precision,METADES (Baseline),METADES (SMOTE + STD),0.17527301046326693,1.7589689480212258,0.08167251240076182,False,No Diff,recall,METADES (Baseline),METADES (SMOTE + STD),-0.29492307692307695,-6.218771061560217,1.2002159716875954e-08,True,Worse,f1,METADES (Baseline),METADES (SMOTE + STD),-0.21477938186973675,-4.170633076797571,6.521767976715497e-05,True,Worse,roc_auc,METADES (Baseline),METADES (SMOTE + STD),0.005571817217869701,0.16138823271456004,0.8721165328452922,False,No Diff
average_cost,METADES (Cost-sensitive + MEC),METADES (Balanced + MEC),-1.1102230246251565e-16,0.0,1.0,False,No Diff,accuracy,METADES (Cost-sensitive + MEC),METADES (Balanced + MEC),0.0,0.0,1.0,False,No Diff,precision,METADES (Cost-sensitive + MEC),METADES (Balanced + MEC),0.0,0.0,1.0,False,No Diff,recall,METADES (Cost-sensitive + MEC),METADES (Balanced + MEC),0.0,0.0,1.0,False,No Diff,f1,METADES (Cost-sensitive + MEC),METADES (Balanced + MEC),0.0,0.0,1.0,False,No Diff,roc_auc,METADES (Cost-sensitive + MEC),METADES (Balanced + MEC),0.009514202026044138,0.4387272513523915,0.6618151482688518,False,No Diff
average_cost,METADES (Cost-sensitive + MEC),METADES (Balanced + STD),-0.05714464242521966,-0.9752694666317676,0.3318036668545903,False,No Diff,accuracy,METADES (Cost-sensitive + MEC),METADES (Balanced + STD),-0.6751330323308878,-74.59663552488354,8.173688389808641e-89,True,Worse,precision,METADES (Cost-sensitive + MEC),METADES (Balanced + STD),-0.3257645871299436,-10.979431700367735,8.0907207231731085e-19,True,Worse,recall,METADES (Cost-sensitive + MEC),METADES (Balanced + STD),0.5098307692307692,13.697330209429605,1.3813594629791616e-24,True,Better,f1,METADES (Cost-sensitive + MEC),METADES (Balanced + STD),-0.20856021354659432,-6.902374688853293,4.928010078614785e-10,True,Worse,roc_auc,METADES (Cost-sensitive + MEC),METADES (Balanced + STD),0.008188555742503212,0.3572712752468986,0.7216492041389919,False,No Diff
