model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
METADES (Baseline),100.0,0.1366,0.0911088414533674,0.0,0.08,0.12,0.2,0.4
METADES (Cost-sensitive + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
METADES (Cost-sensitive + Standard Threshold),100.0,0.744553846153846,0.10100775343635042,0.52,0.68,0.76,0.801923076923077,1.0
METADES (SMOTE + Minimum Expected Cost),100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
METADES (SMOTE + Standard Threshold),100.0,0.43152307692307695,0.09777868667428753,0.2,0.36,0.44,0.48,0.72
